Number;Width;Height;Name;Thickness;File;Completed;Customer;Job
4;1708;1215;2206_FF002A;20;;0;Customer101;101
4;1708;200;2206_FF002B;20;;0;Customer101;102
4;1708;215;2206_FF002C;20;;0;Customer101;103
1;576;1215;2206_FF003A;20;;0;Customer101;104
1;576;200;2206_FF003B;20;;0;Customer101;105
1;576;215;2206_FF003C;20;;0;Customer102;101
2;2282;1215;2206_FF004A;20;;0;Customer102;102
2;2282;200;2206_FF004B;20;;0;Customer102;103
2;2282;215;2206_FF004C;20;;0;Customer102;104
1;1534;1215;2206_FF005A;20;;0;Customer102;105
1;1534;200;2206_FF005B;20;;0;Customer103;101
1;1534;215;2206_FF005C;20;;0;Customer103;102
4;2440;1215;2206_FF006A;20;;0;Customer103;103
4;2440;200;2206_FF006B;20;;0;Customer103;104
4;2440;215;2206_FF006C;20;;0;Customer103;105
1;2682;1215;2206_FF007A;20;;0;Customer104;101
1;2682;200;2206_FF007B;20;;0;Customer104;102
1;2682;215;2206_FF007C;20;;0;Customer104;103
4;2856;1215;2206_FF008A;20;;0;Customer104;104
4;2856;200;2206_FF008B;20;;0;Customer104;105
4;2856;215;2206_FF008C;20;;0;Customer105;101
1;1702;1215;2206_FF009A;20;;0;Customer105;102
1;1702;200;2206_FF009B;20;;0;Customer105;103
1;1702;215;2206_FF009C;20;;0;Customer105;104
1;1834;1215;2206_FF010A;20;;0;Customer105;105
1;1834;200;2206_FF010B;20;;0;Customer106;101
1;1834;215;2206_FF010C;20;;0;Customer106;102
1;977;1215;2206_FF011A;20;;0;Customer106;103
1;977;200;2206_FF011B;20;;0;Customer106;104
1;977;215;2206_FF011C;20;;0;Customer106;105
1;1246;1215;2206_FF012A;20;;0;Customer107;101
1;1246;200;2206_FF012B;20;;0;Customer107;102
1;1246;215;2206_FF012C;20;;0;Customer107;103
3;2410;1215;2206_FF013A;20;;0;Customer107;104
3;2410;200;2206_FF013B;20;;0;Customer107;105
3;2410;215;2206_FF013C;20;;0;Customer108;101
1;2582;1215;2206_FF014A;20;;0;Customer108;102
1;2582;200;2206_FF014B;20;;0;Customer108;103
1;2582;215;2206_FF014C;20;;0;Customer108;104
1;902;1215;2206_FF015A;20;;0;Customer108;105
1;902;200;2206_FF015B;20;;0;Customer109;101
1;902;215;2206_FF015C;20;;0;Customer109;102
1;902;1215;2206_FF016A;20;;0;Customer109;103
1;902;200;2206_FF016B;20;;0;Customer109;104
1;902;215;2206_FF016C;20;;0;Customer109;105
1;1392;1215;2206_FF017A;20;;0;Customer110;101
1;1392;200;2206_FF017B;20;;0;Customer110;102
1;1392;215;2206_FF017C;20;;0;Customer110;103
1;2342;1215;2206_FF018A;20;;0;Customer110;104
1;2342;200;2206_FF018B;20;;0;Customer110;105
1;2342;215;2206_FF018C;20;;0;Customer111;101
1;2416;1215;2206_FF019A;20;;0;Customer111;102
1;2416;200;2206_FF019B;20;;0;Customer111;103
1;2416;215;2206_FF019C;20;;0;Customer111;104
3;2026;1215;2206_FF020A;20;;0;Customer111;105
3;2026;200;2206_FF020B;20;;0;Customer111;106
3;2026;215;2206_FF020C;20;;0;Customer111;107
1;2059;1215;2206_FF021A;20;;0;Customer111;108
1;2059;200;2206_FF021B;20;;0;Customer111;109
1;2059;215;2206_FF021C;20;;0;Customer111;110
1;2019;1215;2206_FF022A;20;;0;Customer112;101
1;2019;200;2206_FF022B;20;;0;Customer112;102
1;2019;215;2206_FF022C;20;;0;Customer112;103
1;2044;1215;2206_FF023A;20;;0;Customer112;104
1;2044;200;2206_FF023B;20;;0;Customer112;105
1;2044;215;2206_FF023C;20;;0;Customer112;106
2;2806;1215;2206_FF024A;20;;0;Customer112;107
2;2806;200;2206_FF024B;20;;0;Customer112;108
2;2806;215;2206_FF024C;20;;0;Customer112;109
5;2530;1215;2206_FF025A;20;;0;Customer112;110
5;2530;200;2206_FF025B;20;;0;Customer113;101
5;2530;215;2206_FF025C;20;;0;Customer113;102
1;2582;1215;2206_FF026A;20;;0;Customer113;103
1;2582;200;2206_FF026B;20;;0;Customer113;104
1;2582;215;2206_FF026C;20;;0;Customer113;105
1;2872;1215;2206_FF029A;20;;0;Customer113;106
1;2872;200;2206_FF029B;20;;0;Customer113;107
1;2872;215;2206_FF029C;20;;0;Customer113;108
1;214;656;2206_FF029D_Y;20;;0;Customer113;109
1;2836;1215;2206_FF030A;20;;0;Customer113;110
1;2836;200;2206_FF030B;20;;0;Customer114;101
1;2836;215;2206_FF030C;20;;0;Customer114;102
1;214;656;2206_FF030D_Y;20;;0;Customer114;103
1;2776;1215;2206_FF031A;20;;0;Customer114;104
1;2776;200;2206_FF031B;20;;0;Customer114;105
1;2776;215;2206_FF031C;20;;0;Customer114;106
1;214;656;2206_FF031D_Y;20;;0;Customer114;107
1;2766;1215;2206_FF032A;20;;0;Customer114;108
1;2766;200;2206_FF032B;20;;0;Customer114;109
1;2766;215;2206_FF032C;20;;0;Customer114;110
1;214;656;2206_FF032D_Y;20;;0;Customer115;101
13;2996;1215;2206_FF033A;20;;0;Customer115;102
13;2996;200;2206_FF033B;20;;0;Customer115;103
13;2996;215;2206_FF033C;20;;0;Customer115;104
13;214;656;2206_FF033D_Y;20;;0;Customer115;105
10;2996;1215;2206_FF034A;20;;0;Customer115;106
10;2996;200;2206_FF034B;20;;0;Customer115;107
10;2996;215;2206_FF034C;20;;0;Customer115;108
10;214;656;2206_FF034D_Y;20;;0;Customer115;109
1;2976;1215;2206_FF035A;20;;0;Customer115;110
